date|description|withdrawal|deposit|balance
31-Mar-16|SALDO INICIAL|0.0|0.0|154.3
01-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|900.0|1054.3
01-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|350.0|0.0|704.3
01-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|600.0|0.0|104.3
02-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|55.0|0.0|49.3
02-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|8.8|0.0|40.5
04-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|3985.8|4026.3
04-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|3300.0|0.0|726.3
04-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|720.8
04-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|719.92
04-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|131122.0|131841.92
04-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|100000.0|0.0|31841.92
04-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|30000.0|61841.92
04-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|36000.0|0.0|25841.92
04-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|1500.0|0.0|24341.92
04-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|24336.42
04-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|0.0|24336.42
04-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|24335.54
04-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|7000.0|0.0|17335.54
04-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|17330.04
04-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|17329.16
04-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|25O.0|0.0|17079.16
05-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|1210.0|0.0|15869.16
05-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|15863.66
05-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|15862.78
05-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|1677.5|17540.28
05-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|15000.0|0.0|2540.28
05-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|2534.78
05-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|2533.9
05-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|8984.6|11518.5
06-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|300.0|0.0|11218.5
06-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|11213.0
06-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|11212.12
06-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|0.0|11212.12
06-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|500.0|0.0|10712.12
06-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|10706.62
06-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|10705.74
06-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|500.0|0.0|11205.74
06-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|500.0|0.0|10705.74
06-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|10700.24
06-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|10699.36
06-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5100.0|0.0|5599.36
06-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|664.05|0.0|4935.31
06-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|4966.9|9902.21
06-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|3000.0|0.0|6902.21
06-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|6896.71
06-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|6895.83
06-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|484.0|0.0|6411.83
06-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|0.0|6411.83
07-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|200.0|0.0|6211.83
07-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|6206.33
07-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|6205.45
07-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|3000.0|0.0|3205.45
07-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5.5|0.0|3199.95
07-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.88|0.0|3199.07
07-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|2600.0|0.0|599.07
08-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|0.0|20000.0|20599.07
08-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|400.0|0.0|20199.07
08-ABR-16|XXXXX XXXX XXXXXX XXXXXXXX|5300.0|0.0|14899.07
